,importance,stddev,p_value,n,p99_high,p99_low
rgb132_mean,0.014084507042253391,0.0,0.5,3,0.014084507042253391,0.014084507042253391
rgb966_25%,0.014084507042253391,0.0,0.5,3,0.014084507042253391,0.014084507042253391
rgb998_mean,0.014084507042253391,0.0,0.5,3,0.014084507042253391,0.014084507042253391
rgb776_75%,0.014084507042253391,0.0,0.5,3,0.014084507042253391,0.014084507042253391
rgb407_mean,0.014084507042253391,0.0,0.5,3,0.014084507042253391,0.014084507042253391
rgb828_max,0.014084507042253391,0.0,0.5,3,0.014084507042253391,0.014084507042253391
rgb841_75%,0.014084507042253391,0.0,0.5,3,0.014084507042253391,0.014084507042253391
aud79_50%,0.012286484866646555,0.0031142657612865695,0.010375768377757704,3,0.030131573031317978,-0.005558603298024866
rgb415_std,0.012286484866646555,0.0031142657612865695,0.010375768377757704,3,0.030131573031317978,-0.005558603298024866
rgb7_max,0.012286484866646555,0.003114265761286569,0.010375768377757702,3,0.030131573031317978,-0.005558603298024866
rgb841_mean,0.012286484866646555,0.003114265761286569,0.010375768377757702,3,0.030131573031317978,-0.005558603298024866
rgb223_max,0.012286484866646555,0.003114265761286569,0.010375768377757702,3,0.030131573031317978,-0.005558603298024866
rgb649_25%,0.012286484866646555,0.003114265761286569,0.010375768377757702,3,0.030131573031317978,-0.005558603298024866
aud118_25%,0.012286484866646555,0.003114265761286569,0.010375768377757702,3,0.030131573031317978,-0.005558603298024866
aud79_max,0.012286484866646555,0.0031142657612865695,0.010375768377757704,3,0.030131573031317978,-0.005558603298024866
rgb348_75%,0.012286484866646555,0.0031142657612865695,0.010375768377757704,3,0.030131573031317978,-0.005558603298024866
rgb676_std,0.012286484866646555,0.0031142657612865695,0.010375768377757704,3,0.030131573031317978,-0.005558603298024866
rgb378_75%,0.012286484866646555,0.003114265761286569,0.010375768377757702,3,0.030131573031317978,-0.005558603298024866
rgb611_25%,0.012286484866646555,0.003114265761286569,0.010375768377757702,3,0.030131573031317978,-0.005558603298024866
rgb611_50%,0.012286484866646555,0.003114265761286569,0.010375768377757702,3,0.030131573031317978,-0.005558603298024866
rgb345_mean,0.01119537739256038,0.005004119342921969,0.030303030303030505,3,0.03986953615288688,-0.017478781367766122
rgb296_75%,0.01119537739256038,0.005004119342921969,0.030303030303030505,3,0.03986953615288688,-0.017478781367766122
rgb618_50%,0.01119537739256038,0.005004119342921969,0.030303030303030505,3,0.03986953615288688,-0.017478781367766122
rgb315_25%,0.01119537739256038,0.005004119342921969,0.030303030303030505,3,0.03986953615288688,-0.017478781367766122
rgb967_mean,0.01119537739256038,0.005004119342921969,0.030303030303030505,3,0.03986953615288688,-0.017478781367766122
rgb28_50%,0.01119537739256038,0.005004119342921969,0.030303030303030505,3,0.03986953615288688,-0.017478781367766122
rgb107_min,0.01119537739256038,0.005004119342921969,0.030303030303030505,3,0.03986953615288688,-0.017478781367766122
e141,0.01119537739256038,0.005004119342921969,0.030303030303030505,3,0.03986953615288688,-0.017478781367766122
rgb345_25%,0.01119537739256038,0.005004119342921969,0.030303030303030505,3,0.03986953615288688,-0.017478781367766122
rgb776_mean,0.01119537739256038,0.005004119342921969,0.030303030303030505,3,0.03986953615288688,-0.017478781367766122
e476,0.01119537739256038,0.005004119342921969,0.030303030303030505,3,0.03986953615288688,-0.017478781367766122
rgb784_25%,0.01119537739256038,0.005004119342921969,0.030303030303030505,3,0.03986953615288688,-0.017478781367766122
rgb936_50%,0.01119537739256038,0.005004119342921969,0.030303030303030505,3,0.03986953615288688,-0.017478781367766122
rgb419_mean,0.01119537739256038,0.005004119342921969,0.030303030303030505,3,0.03986953615288688,-0.017478781367766122
rgb960_25%,0.01119537739256038,0.005004119342921969,0.030303030303030505,3,0.03986953615288688,-0.017478781367766122
rgb98_75%,0.01119537739256038,0.005004119342921969,0.030303030303030505,3,0.03986953615288688,-0.017478781367766122
rgb936_mean,0.01119537739256038,0.005004119342921969,0.030303030303030505,3,0.03986953615288688,-0.017478781367766122
rgb181_mean,0.01119537739256038,0.005004119342921969,0.030303030303030505,3,0.03986953615288688,-0.017478781367766122
rgb390_max,0.01119537739256038,0.005004119342921969,0.030303030303030505,3,0.03986953615288688,-0.017478781367766122
rgb464_std,0.01119537739256038,0.005004119342921969,0.030303030303030505,3,0.03986953615288688,-0.017478781367766122
rgb993_75%,0.01119537739256038,0.005004119342921969,0.030303030303030505,3,0.03986953615288688,-0.017478781367766122
rgb93_25%,0.01119537739256038,0.005004119342921969,0.030303030303030505,3,0.03986953615288688,-0.017478781367766122
rgb419_max,0.01119537739256038,0.005004119342921969,0.030303030303030505,3,0.03986953615288688,-0.017478781367766122
rgb904_50%,0.01119537739256038,0.005004119342921969,0.030303030303030505,3,0.03986953615288688,-0.017478781367766122
rgb987_75%,0.01119537739256038,0.005004119342921969,0.030303030303030505,3,0.03986953615288688,-0.017478781367766122
rgb803_75%,0.01119537739256038,0.005004119342921969,0.030303030303030505,3,0.03986953615288688,-0.017478781367766122
rgb758_25%,0.01119537739256038,0.005004119342921969,0.030303030303030505,3,0.03986953615288688,-0.017478781367766122
rgb671_25%,0.01119537739256038,0.005004119342921969,0.030303030303030505,3,0.03986953615288688,-0.017478781367766122
