,importance,stddev,p_value,n,p99_high,p99_low
e302,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
e174,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
rgb523_max,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
rgb150_max,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
rgb60_50%,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
e183,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
rgb797_50%,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
rgb908_25%,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
rgb243_75%,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
rgb477_min,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
rgb624_mean,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
aud119_min,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
rgb523_mean,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
rgb216_75%,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
e384,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
aud25_mean,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
rgb106_max,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
rgb479_mean,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
rgb479_std,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
rgb624_max,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
rgb593_max,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
aud123_mean,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
rgb593_50%,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
aud123_std,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
rgb479_50%,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
rgb20_min,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
rgb424_25%,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
rgb470_25%,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
rgb424_mean,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
aud107_std,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
e484,0.012787723785166238,0.0,0.5,3,0.012787723785166238,0.012787723785166238
