,importance,stddev,p_value,n,p99_high,p99_low
rgb820_50%,0.014028420718561585,0.00909631826879757,0.058109972950299855,3,0.06615133312329619,-0.03809449168617301
e415,0.013523119906098705,0.008189365520420171,0.05179690277629593,3,0.060449092487271316,-0.03340285267507391
rgb248_50%,0.01212465821395999,0.0053057861118215865,0.029152679522796678,3,0.04252740101302996,-0.018278084585109974
e411,0.012091361507004331,0.00989382947061014,0.08425071632124274,3,0.06878410153710476,-0.044601378523096105
aud71_std,0.011854451843844852,0.005554598800361476,0.03300991994507544,3,0.04368291894001172,-0.019974015252322022
rgb416_std,0.010512655193506268,0.00943655664431687,0.09671767812178346,3,0.06458517122026385,-0.043559860833251314
aud121_25%,0.01046981187826257,0.002439508179674472,0.008810034653887461,3,0.024448464273921805,-0.003508840517396668
rgb769_min,0.010213427234703865,0.005323087588273057,0.03992501226971179,3,0.04071530941246575,-0.02028845494305802
rgb562_min,0.010213427234703865,0.005323087588273057,0.03992501226971179,3,0.04071530941246575,-0.02028845494305802
rgb939_min,0.010179654860505946,0.009994169400565576,0.10987389709284719,3,0.06744735381631863,-0.04708804409530673
rgb427_min,0.009104204489280917,0.009125701574962947,0.11306737818028914,3,0.0613954864967671,-0.04318707751820526
e384,0.009061361174037219,0.0,0.5,3,0.009061361174037219,0.009061361174037219
aud85_75%,0.009061361174037219,0.0,0.5,3,0.009061361174037219,0.009061361174037219
rgb342_min,0.009061361174037219,0.0,0.5,3,0.009061361174037219,0.009061361174037219
rgb248_mean,0.009061361174037219,0.0,0.5,3,0.009061361174037219,0.009061361174037219
rgb835_min,0.00903807676357878,0.004959620421175475,0.04370693031440963,3,0.03745725176764713,-0.019381098240489572
rgb961_max,0.008804976530478514,0.004615273114173152,0.0403291256923502,3,0.03525100327947148,-0.017641050218514445
rgb331_max,0.00879498751839188,0.008189365520420171,0.10197119948504504,3,0.055720960099564495,-0.03813098506278073
aud121_min,0.00879498751839188,0.008189365520420171,0.10197119948504504,3,0.055720960099564495,-0.03813098506278073
rgb263_max,0.00879498751839188,0.008189365520420171,0.10197119948504504,3,0.055720960099564495,-0.03813098506278073
rgb723_25%,0.008524808524808525,0.008247860988423195,0.10765350466258054,3,0.05578596662441822,-0.03873634957480117
rgb62_max,0.008250742063691807,0.0,0.5,3,0.008250742063691807,0.008250742063691807
e445,0.007964257964258,0.005214993690232673,0.059063306462696155,3,0.03784675011931458,-0.02191823419079858
aud59_max,0.007649627367937284,0.010974943558908521,0.17536905798875563,3,0.0705372710127449,-0.05523801627687033
rgb129_50%,0.007649627367937284,0.01097494355890852,0.17536905798875563,3,0.0705372710127449,-0.05523801627687033
rgb346_std,0.0074393691414968615,0.009581619938083376,0.15545058732577732,3,0.06234311392814407,-0.04746437564515034
rgb1020_max,0.0074393691414968615,0.009581619938083376,0.15545058732577732,3,0.06234311392814407,-0.04746437564515034
rgb1016_50%,0.007429822533208823,0.011722663571196959,0.1934075056264687,3,0.07460198476587905,-0.059742339699461404
rgb378_max,0.007429822533208823,0.011722663571196959,0.1934075056264687,3,0.07460198476587905,-0.059742339699461404
rgb934_min,0.007396525826253164,0.0028835794085985854,0.023555588879887287,3,0.023919755608355818,-0.00912670395584949
rgb81_75%,0.007396525826253164,0.0028835794085985854,0.023555588879887287,3,0.023919755608355818,-0.00912670395584949
aud6_25%,0.007396525826253164,0.0028835794085985854,0.023555588879887287,3,0.023919755608355818,-0.00912670395584949
rgb331_std,0.007396525826253164,0.0028835794085985854,0.023555588879887287,3,0.023919755608355818,-0.00912670395584949
aud6_50%,0.007396525826253164,0.0028835794085985854,0.023555588879887287,3,0.023919755608355818,-0.00912670395584949
rgb837_min,0.007396525826253164,0.0028835794085985854,0.023555588879887287,3,0.023919755608355818,-0.00912670395584949
rgb692_max,0.007396525826253164,0.0028835794085985854,0.023555588879887287,3,0.023919755608355818,-0.00912670395584949
rgb248_25%,0.007396525826253164,0.0028835794085985854,0.023555588879887287,3,0.023919755608355818,-0.00912670395584949
rgb931_min,0.007396525826253164,0.0028835794085985854,0.023555588879887287,3,0.023919755608355818,-0.00912670395584949
rgb847_max,0.007373241415794725,0.005726829035258866,0.07775146746266218,3,0.04018860685717421,-0.025442124025584757
rgb1007_min,0.007183426901736752,0.01057120211192271,0.1801539556334681,3,0.06775758728292677,-0.053390733479453265
rgb879_min,0.007179151783468359,0.006707862311298046,0.10247418511264275,3,0.04561594668697674,-0.031257643120040014
rgb665_50%,0.007140141182694459,0.005323087588273057,0.07290364247969144,3,0.03764202336045634,-0.023361740995067427
rgb315_max,0.007140141182694459,0.005323087588273057,0.07290364247969144,3,0.03764202336045634,-0.023361740995067427
rgb915_max,0.007140141182694459,0.005323087588273057,0.07290364247969144,3,0.03764202336045634,-0.023361740995067427
aud100_min,0.007140141182694459,0.005323087588273057,0.07290364247969144,3,0.03764202336045634,-0.023361740995067427
rgb679_75%,0.0071263194561380265,0.00268039499039859,0.02203175518622957,3,0.022485279990079765,-0.008232641077803714
rgb681_max,0.0071163578205831746,0.007338779646301935,0.11752761567126394,3,0.049168379018430894,-0.034935663377264545
rgb949_min,0.006846151450468037,0.007245692807201543,0.12168413366380872,3,0.048364774737525124,-0.034672471836589044
rgb91_max,0.006846151450468037,0.007245692807201543,0.12168413366380872,3,0.048364774737525124,-0.034672471836589044
e183,0.006313131313131344,0.0070914624461040875,0.1315135901823017,3,0.046947997527922315,-0.03432173490165962
aud63_75%,0.006083750764601843,0.010537365424876398,0.21132486540518713,3,0.06646402317674056,-0.05429652164753688
rgb430_50%,0.006040907449358146,0.005231579313054812,0.09175170953613696,3,0.03601843706242691,-0.02393662216371062
rgb874_max,0.006040907449358146,0.005231579313054812,0.09175170953613696,3,0.03601843706242691,-0.02393662216371062
rgb81_mean,0.006040907449358146,0.005231579313054812,0.09175170953613696,3,0.03601843706242691,-0.02393662216371062
rgb667_25%,0.006040907449358146,0.005231579313054812,0.09175170953613696,3,0.03601843706242691,-0.02393662216371062
rgb81_50%,0.006040907449358146,0.005231579313054812,0.09175170953613696,3,0.03601843706242691,-0.02393662216371062
aud121_mean,0.006040907449358146,0.005231579313054812,0.09175170953613696,3,0.03601843706242691,-0.02393662216371062
rgb893_mean,0.006040907449358146,0.005231579313054812,0.09175170953613696,3,0.03601843706242691,-0.02393662216371062
aud31_50%,0.006040907449358146,0.005231579313054812,0.09175170953613696,3,0.03601843706242691,-0.02393662216371062
aud31_min,0.006040907449358146,0.005231579313054812,0.09175170953613696,3,0.03601843706242691,-0.02393662216371062
aud31_mean,0.006040907449358146,0.005231579313054812,0.09175170953613696,3,0.03601843706242691,-0.02393662216371062
rgb653_min,0.006040907449358146,0.005231579313054812,0.09175170953613696,3,0.03601843706242691,-0.02393662216371062
rgb1001_std,0.006017623038899707,0.007194182954167583,0.14220337134002353,3,0.04724108915595324,-0.035205843078153824
rgb500_std,0.005784522805799441,0.006807861203963428,0.13947618775063925,3,0.04479432245352915,-0.03322527684193027
rgb171_std,0.005784522805799441,0.006807861203963428,0.13947618775063925,3,0.04479432245352915,-0.03322527684193027
rgb870_min,0.005774976197511402,0.00958712575430146,0.20316458237828922,3,0.06071026992164864,-0.04916031752662583
rgb346_max,0.005774976197511402,0.00958712575430146,0.20316458237828922,3,0.06071026992164864,-0.04916031752662583
rgb483_min,0.005774976197511402,0.009587125754301458,0.20316458237828922,3,0.06071026992164863,-0.04916031752662582
rgb141_min,0.005774976197511402,0.00958712575430146,0.20316458237828922,3,0.06071026992164864,-0.04916031752662583
rgb232_25%,0.005731690478469109,0.0028835794085985854,0.03749989091567547,3,0.022254920260571763,-0.010791539303633545
e138,0.005731690478469109,0.0028835794085985854,0.03749989091567547,3,0.022254920260571763,-0.010791539303633545
rgb129_mean,0.005731690478469109,0.0028835794085985854,0.03749989091567547,3,0.022254920260571763,-0.010791539303633545
aud36_min,0.005731690478469109,0.002883579408598585,0.03749989091567545,3,0.02225492026057176,-0.010791539303633541
rgb810_min,0.005731690478469109,0.0028835794085985854,0.03749989091567547,3,0.022254920260571763,-0.010791539303633545
e385,0.005731690478469109,0.0028835794085985854,0.03749989091567547,3,0.022254920260571763,-0.010791539303633545
rgb511_min,0.005684622705899385,0.007622371512255384,0.16279517155628354,3,0.0493616567442159,-0.037992411332417125
rgb343_std,0.005461484108353972,0.002415568247030407,0.029725818006169615,3,0.01930295803517465,-0.008379989818466708
e155,0.004704411394552244,0.01856719305600395,0.3518127934642691,3,0.11109648659046767,-0.10168766380136318
rgb820_mean,0.004671580375805728,0.004537248597225862,0.10823488912214684,3,0.03067051799026218,-0.021327357238650722
e13,0.004662004662004689,0.008074828939715093,0.21132486540518713,3,0.050931669934350284,-0.0416076606103409
aud59_75%,0.004470855175080539,0.011800904588983798,0.2895497821966933,3,0.07209134711610647,-0.06314963676594539
rgb744_50%,0.004460866162993904,0.013597662668823788,0.3135884267047244,3,0.08237698115068118,-0.07345524882469337
rgb979_75%,0.0044093688085297495,0.012247706006363289,0.29827520230926924,3,0.07459008241860915,-0.06577134480154964
rgb488_max,0.0044093688085297495,0.012247706006363289,0.29827520230926924,3,0.07459008241860915,-0.06577134480154964
aud6_75%,0.004376072101574091,0.004538587658391279,0.11843204940342225,3,0.030382682685001848,-0.021630538481853666
aud6_mean,0.004376072101574091,0.004538587658391279,0.11843204940342225,3,0.030382682685001848,-0.021630538481853666
rgb1004_75%,0.004376072101574091,0.004538587658391279,0.11843204940342225,3,0.030382682685001848,-0.021630538481853666
rgb893_75%,0.004376072101574091,0.004538587658391279,0.11843204940342225,3,0.030382682685001848,-0.021630538481853666
rgb83_50%,0.004376072101574091,0.004538587658391279,0.11843204940342225,3,0.030382682685001848,-0.021630538481853666
rgb934_25%,0.004376072101574091,0.004538587658391279,0.11843204940342225,3,0.030382682685001848,-0.021630538481853666
rgb835_std,0.004376072101574091,0.004538587658391279,0.11843204940342225,3,0.030382682685001848,-0.021630538481853666
rgb500_max,0.004376072101574091,0.004538587658391279,0.11843204940342225,3,0.030382682685001848,-0.021630538481853666
rgb418_max,0.004376072101574091,0.004538587658391279,0.11843204940342225,3,0.030382682685001848,-0.021630538481853666
rgb983_25%,0.004376072101574091,0.004538587658391279,0.11843204940342225,3,0.030382682685001848,-0.021630538481853666
aud59_50%,0.004376072101574091,0.004538587658391279,0.11843204940342225,3,0.030382682685001848,-0.021630538481853666
aud100_75%,0.004376072101574091,0.004538587658391279,0.11843204940342225,3,0.030382682685001848,-0.021630538481853666
rgb788_75%,0.004376072101574091,0.004538587658391279,0.11843204940342225,3,0.030382682685001848,-0.021630538481853666
rgb559_min,0.004366525493286051,0.00813169393224824,0.2252605558612521,3,0.050962033478816844,-0.042228982492244736
rgb232_mean,0.004366525493286051,0.00813169393224824,0.2252605558612521,3,0.050962033478816844,-0.042228982492244736
rgb955_mean,0.004366525493286051,0.00813169393224824,0.2252605558612521,3,0.050962033478816844,-0.042228982492244736
aud123_std,0.004366525493286051,0.00813169393224824,0.2252605558612521,3,0.050962033478816844,-0.042228982492244736
aud71_max,0.004366525493286051,0.00813169393224824,0.2252605558612521,3,0.050962033478816844,-0.042228982492244736
aud69_min,0.004110140849727347,0.009155006324871881,0.2590913153566434,3,0.0565693423239043,-0.0483490606244496
aud81_75%,0.004110140849727347,0.009155006324871881,0.2590913153566434,3,0.0565693423239043,-0.0483490606244496
aud81_50%,0.004110140849727347,0.009155006324871881,0.2590913153566434,3,0.0565693423239043,-0.0483490606244496
rgb985_max,0.004066855130685054,0.0,0.5,3,0.004066855130685054,0.004066855130685054
rgb159_min,0.004066855130685054,0.0,0.5,3,0.004066855130685054,0.004066855130685054
rgb7_min,0.004066855130685054,0.0,0.5,3,0.004066855130685054,0.004066855130685054
rgb438_min,0.004066855130685054,0.0,0.5,3,0.004066855130685054,0.004066855130685054
rgb707_std,0.004066855130685054,0.0,0.5,3,0.004066855130685054,0.004066855130685054
rgb113_max,0.004066855130685054,0.0,0.5,3,0.004066855130685054,0.004066855130685054
rgb69_max,0.004066855130685054,0.0,0.5,3,0.004066855130685054,0.004066855130685054
rgb129_75%,0.004043071768573769,0.005030223255424095,0.14923757604154742,3,0.032866808842297285,-0.024780665305149743
rgb226_min,0.0037728653984586322,0.00463187425924422,0.14687011415077195,3,0.030314018549671456,-0.022768287752754194
e256,0.0033346283346283867,0.011546182090322476,0.33326521522417035,3,0.0694955321112008,-0.06282627544194402
rgb826_25%,0.0033346283346283867,0.011546182090322477,0.3332652152241704,3,0.06949553211120081,-0.06282627544194404
rgb555_25%,0.0033022533022533107,0.0028598352494824193,0.09175170953613696,3,0.01968942641954232,-0.013084919815035699
rgb555_min,0.0033022533022533107,0.0028598352494824193,0.09175170953613696,3,0.01968942641954232,-0.013084919815035699
e318,0.003062404470855188,0.010390497802317166,0.3302362306529595,3,0.06260110911903326,-0.05647630017732288
e180,0.003020453724679073,0.005231579313054812,0.21132486540518713,3,0.03299798333774784,-0.026957075888389692
aud11_std,0.003020453724679073,0.005231579313054812,0.21132486540518713,3,0.03299798333774784,-0.026957075888389692
e477,0.003020453724679073,0.005231579313054812,0.21132486540518713,3,0.03299798333774784,-0.026957075888389692
e172,0.003020453724679073,0.005231579313054812,0.21132486540518713,3,0.03299798333774784,-0.026957075888389692
rgb430_mean,0.003020453724679073,0.005231579313054812,0.21132486540518713,3,0.03299798333774784,-0.026957075888389692
e472,0.003020453724679073,0.005231579313054812,0.21132486540518713,3,0.03299798333774784,-0.026957075888389692
rgb638_75%,0.003020453724679073,0.005231579313054812,0.21132486540518713,3,0.03299798333774784,-0.026957075888389692
rgb432_max,0.003020453724679073,0.005231579313054812,0.21132486540518713,3,0.03299798333774784,-0.026957075888389692
rgb797_min,0.003020453724679073,0.005231579313054812,0.21132486540518713,3,0.03299798333774784,-0.026957075888389692
rgb172_max,0.003020453724679073,0.005231579313054812,0.21132486540518713,3,0.03299798333774784,-0.026957075888389692
e175,0.003020453724679073,0.005231579313054812,0.21132486540518713,3,0.03299798333774784,-0.026957075888389692
rgb123_std,0.003020453724679073,0.005231579313054812,0.21132486540518713,3,0.03299798333774784,-0.026957075888389692
rgb125_max,0.003020453724679073,0.005231579313054812,0.21132486540518713,3,0.03299798333774784,-0.026957075888389692
rgb893_min,0.003020453724679073,0.005231579313054812,0.21132486540518713,3,0.03299798333774784,-0.026957075888389692
aud102_min,0.003020453724679073,0.005231579313054812,0.21132486540518713,3,0.03299798333774784,-0.026957075888389692
aud87_50%,0.003020453724679073,0.005231579313054812,0.21132486540518713,3,0.03299798333774784,-0.026957075888389692
rgb108_min,0.003020453724679073,0.005231579313054812,0.21132486540518713,3,0.03299798333774784,-0.026957075888389692
rgb736_min,0.003020453724679073,0.005231579313054812,0.21132486540518713,3,0.03299798333774784,-0.026957075888389692
rgb347_25%,0.003020453724679073,0.005231579313054812,0.21132486540518713,3,0.03299798333774784,-0.026957075888389692
e510,0.003020453724679073,0.005231579313054812,0.21132486540518713,3,0.03299798333774784,-0.026957075888389692
rgb785_min,0.003020453724679073,0.005231579313054812,0.21132486540518713,3,0.03299798333774784,-0.026957075888389692
aud85_mean,0.003020453724679073,0.005231579313054812,0.21132486540518713,3,0.03299798333774784,-0.026957075888389692
rgb89_std,0.003020453724679073,0.005231579313054812,0.21132486540518713,3,0.03299798333774784,-0.026957075888389692
rgb466_min,0.003020453724679073,0.005231579313054812,0.21132486540518713,3,0.03299798333774784,-0.026957075888389692
rgb99_25%,0.003020453724679073,0.005231579313054812,0.21132486540518713,3,0.03299798333774784,-0.026957075888389692
aud27_75%,0.003020453724679073,0.005231579313054812,0.21132486540518713,3,0.03299798333774784,-0.026957075888389692
rgb893_50%,0.003020453724679073,0.005231579313054812,0.21132486540518713,3,0.03299798333774784,-0.026957075888389692
aud102_25%,0.003020453724679073,0.005231579313054812,0.21132486540518713,3,0.03299798333774784,-0.026957075888389692
rgb828_50%,0.003020453724679073,0.005231579313054812,0.21132486540518713,3,0.03299798333774784,-0.026957075888389692
rgb324_25%,0.003020453724679073,0.005231579313054812,0.21132486540518713,3,0.03299798333774784,-0.026957075888389692
e389,0.003020453724679073,0.005231579313054812,0.21132486540518713,3,0.03299798333774784,-0.026957075888389692
aud2_std,0.003020453724679073,0.005231579313054812,0.21132486540518713,3,0.03299798333774784,-0.026957075888389692
e30,0.003020453724679073,0.005231579313054812,0.21132486540518713,3,0.03299798333774784,-0.026957075888389692
aud69_max,0.003020453724679073,0.005231579313054812,0.21132486540518713,3,0.03299798333774784,-0.026957075888389692
e115,0.003020453724679073,0.005231579313054812,0.21132486540518713,3,0.03299798333774784,-0.026957075888389692
rgb855_75%,0.003020453724679073,0.005231579313054812,0.21132486540518713,3,0.03299798333774784,-0.026957075888389692
rgb40_25%,0.003020453724679073,0.005231579313054812,0.21132486540518713,3,0.03299798333774784,-0.026957075888389692
aud60_50%,0.003020453724679073,0.005231579313054812,0.21132486540518713,3,0.03299798333774784,-0.026957075888389692
rgb855_mean,0.003020453724679073,0.005231579313054812,0.21132486540518713,3,0.03299798333774784,-0.026957075888389692
e130,0.003020453724679073,0.005231579313054812,0.21132486540518713,3,0.03299798333774784,-0.026957075888389692
aud60_75%,0.003020453724679073,0.005231579313054812,0.21132486540518713,3,0.03299798333774784,-0.026957075888389692
rgb645_75%,0.0029876227059325946,0.009850454642587504,0.3258927155129403,3,0.05943182016146752,-0.05345657474960234
rgb555_50%,0.0029876227059325946,0.009850454642587504,0.3258927155129403,3,0.05943182016146752,-0.05345657474960234
rgb156_std,0.002754522472832329,0.009460617374587303,0.33206160203844487,3,0.056964909152223256,-0.051455864206558594
rgb266_min,0.002754522472832329,0.009460617374587303,0.33206160203844487,3,0.056964909152223256,-0.051455864206558594
rgb769_std,0.002734986852457655,0.013437480044069826,0.37906213055128923,3,0.0797332376370584,-0.0742632639321431
rgb729_max,0.002734986852457655,0.013437480044069826,0.37906213055128923,3,0.0797332376370584,-0.0742632639321431
rgb996_std,0.0027216914540858506,0.018907999944647196,0.4131913909916586,3,0.111066627915269,-0.1056232450070973
aud4_min,0.002711236753790036,0.002347999904456227,0.09175170953613696,3,0.016165536584756147,-0.010743063077176077
rgb438_std,0.002711236753790036,0.002347999904456227,0.09175170953613696,3,0.016165536584756147,-0.010743063077176077
e154,0.002711236753790036,0.002347999904456227,0.09175170953613696,3,0.016165536584756147,-0.010743063077176077
rgb273_std,0.002711236753790036,0.002347999904456227,0.09175170953613696,3,0.016165536584756147,-0.010743063077176077
aud100_mean,0.002711236753790036,0.002347999904456227,0.09175170953613696,3,0.016165536584756147,-0.010743063077176077
rgb868_std,0.002701690145501997,0.0071408046628793536,0.2897837312207319,3,0.04361929273415696,-0.03821591244315296
rgb378_75%,0.002701690145501997,0.007140804662879354,0.2897837312207319,3,0.04361929273415696,-0.03821591244315296
rgb725_max,0.002701690145501997,0.007140804662879354,0.2897837312207319,3,0.04361929273415696,-0.03821591244315296
rgb31_max,0.002701690145501997,0.007140804662879354,0.2897837312207319,3,0.04361929273415696,-0.03821591244315296
rgb31_75%,0.002701690145501997,0.007140804662879354,0.2897837312207319,3,0.04361929273415696,-0.03821591244315296
rgb421_max,0.002701690145501997,0.007140804662879354,0.2897837312207319,3,0.04361929273415696,-0.03821591244315296
rgb835_25%,0.002701690145501997,0.007140804662879354,0.2897837312207319,3,0.04361929273415696,-0.03821591244315296
rgb363_min,0.002701690145501997,0.0071408046628793536,0.2897837312207319,3,0.04361929273415696,-0.03821591244315296
rgb83_max,0.002701690145501997,0.007140804662879354,0.2897837312207319,3,0.04361929273415696,-0.03821591244315296
e117,0.002701690145501997,0.0071408046628793536,0.2897837312207319,3,0.04361929273415696,-0.03821591244315296
e120,0.002701690145501997,0.007140804662879354,0.2897837312207319,3,0.04361929273415696,-0.03821591244315296
rgb979_max,0.002701690145501997,0.0071408046628793536,0.2897837312207319,3,0.04361929273415696,-0.03821591244315296
rgb592_min,0.002701690145501997,0.007140804662879354,0.2897837312207319,3,0.04361929273415696,-0.03821591244315296
rgb411_max,0.002654622372932273,0.010017422941998273,0.3456470837757297,3,0.06005556669982589,-0.05474632195396135
rgb763_min,0.0024215221398320073,0.009622251268586172,0.3527278223731087,3,0.05755808895601942,-0.0527150446763554
rgb269_75%,0.0024215221398320073,0.009622251268586172,0.3527278223731087,3,0.05755808895601942,-0.0527150446763554
rgb269_max,0.0024215221398320073,0.009622251268586172,0.3527278223731087,3,0.05755808895601942,-0.0527150446763554
rgb1004_50%,0.0024215221398320073,0.009622251268586172,0.3527278223731087,3,0.05755808895601942,-0.0527150446763554
