UserID,Video ID,Video Title,Video URL,BugStartTime_0,BugEndTime_0,BugStartTime_1,BugEndTime_1,BugStartTime_2,BugEndTime_2,BugStartTime_3,BugEndTime_3,BugStartTime_4,BugEndTime_4
0,Dg8PGt-ecrc,Weird NHL 16 Glitch,https://youtu.be/Dg8PGt-ecrc,00:18,00:32,,,,,,,,
0,nUC0B2obBsc,ARK thylacoleo dance :D,https://youtu.be/nUC0B2obBsc,00:17,00:42,,,,,,,,
0,UNIJ-BL8Bt0,DayZ Standalone Running Glitch Tutorial,https://youtu.be/UNIJ-BL8Bt0,00:04,00:11,00:42,00:48,00:59,01:08,,,,
0,ulAICmhW2pE,NHL 16 slip sliding away glitch...hilarious PS4,https://youtu.be/ulAICmhW2pE,00:17,00:47,,,,,,,,
0,ale8JK5qyis,My Arma 3 has started glitching ( @ EUTW ),https://youtu.be/ale8JK5qyis,00:33,00:34,00:55,01:46,,,,,,
1,Dg8PGt-ecrc,Weird NHL 16 Glitch,https://youtu.be/Dg8PGt-ecrc,00:05,00:08,00:17,00:33,00:37,01:07,01:18,01:21,,
1,nUC0B2obBsc,ARK thylacoleo dance :D,https://youtu.be/nUC0B2obBsc,00:17,00:43,01:03,01:10,,,,,,
1,UNIJ-BL8Bt0,DayZ Standalone Running Glitch Tutorial,https://youtu.be/UNIJ-BL8Bt0,00:04,00:11,00:40,01:10,,,,,,
1,ulAICmhW2pE,NHL 16 slip sliding away glitch...hilarious PS4,https://youtu.be/ulAICmhW2pE,00:17,00:46,00:32,00:46,,,,,,
1,ale8JK5qyis,My Arma 3 has started glitching ( @ EUTW ),https://youtu.be/ale8JK5qyis,00:25,00:33,00:33,00:35,00:56,01:45,01:06,01:45,,
2,Dg8PGt-ecrc,Weird NHL 16 Glitch,https://youtu.be/Dg8PGt-ecrc,0:17,0:32,0:37,1:08,,,,,,
2,nUC0B2obBsc,ARK thylacoleo dance :D,https://youtu.be/nUC0B2obBsc,0:37,0:43,0:51,1:01,0:49,1:09,1:01,1:07,,
2,UNIJ-BL8Bt0,DayZ Standalone Running Glitch Tutorial,https://youtu.be/UNIJ-BL8Bt0,0:51,0:52,0:58,1:07,,,,,,
2,ulAICmhW2pE,NHL 16 slip sliding away glitch...hilarious PS4,https://youtu.be/ulAICmhW2pE,0:17,0:47,0:33,0:47,,,,,,
2,ale8JK5qyis,My Arma 3 has started glitching ( @ EUTW ),https://youtu.be/ale8JK5qyis,0:57,1:59,,,,,,,,
3,Dg8PGt-ecrc,Weird NHL 16 Glitch,https://youtu.be/Dg8PGt-ecrc,0:08,0:09,0:19,0:33,0:44,1:10,,,,
3,nUC0B2obBsc,ARK thylacoleo dance :D,https://youtu.be/nUC0B2obBsc,0:01,0:02,0:23,0:25,0:20,0:38,0:44,0:52,0:59,1:05
3,UNIJ-BL8Bt0,DayZ Standalone Running Glitch Tutorial,https://youtu.be/UNIJ-BL8Bt0,0:04,0:08,1:01,1:08,,,,,,
3,ulAICmhW2pE,NHL 16 slip sliding away glitch...hilarious PS4,https://youtu.be/ulAICmhW2pE,0:16,1:02,,,,,,,,
3,ale8JK5qyis,My Arma 3 has started glitching ( @ EUTW ),https://youtu.be/ale8JK5qyis,0:00,0:17,0:10,0:13,0:33,0:35,0:55,1:42,,
4,Dg8PGt-ecrc,Weird NHL 16 Glitch,https://youtu.be/Dg8PGt-ecrc,0:18,0:33,0:37,1:07,,,,,,
4,nUC0B2obBsc,ARK thylacoleo dance :D,https://youtu.be/nUC0B2obBsc,0:17,0:42,,,,,,,,
4,UNIJ-BL8Bt0,DayZ Standalone Running Glitch Tutorial,https://youtu.be/UNIJ-BL8Bt0,0:40,0:49,0:58,1:07,,,,,,
4,ulAICmhW2pE,NHL 16 slip sliding away glitch...hilarious PS4,https://youtu.be/ulAICmhW2pE,0:16,0:48,,,,,,,,
4,ale8JK5qyis,My Arma 3 has started glitching ( @ EUTW ),https://youtu.be/ale8JK5qyis,0:33,0:34,0:55,1:35,,,,,,
5,Dg8PGt-ecrc,Weird NHL 16 Glitch,https://youtu.be/Dg8PGt-ecrc,0:18,0:33,0:38,1:07,,,,,,
5,nUC0B2obBsc,ARK thylacoleo dance :D,https://youtu.be/nUC0B2obBsc,0:01,0:03,0:17,0:35,0:44,0:53,1:12,1:14,,
5,UNIJ-BL8Bt0,DayZ Standalone Running Glitch Tutorial,https://youtu.be/UNIJ-BL8Bt0,0:47,0:54,0:56,1:07,,,,,,
5,ulAICmhW2pE,NHL 16 slip sliding away glitch...hilarious PS4,https://youtu.be/ulAICmhW2pE,0:16,0:25,0:33,0:45,,,,,,
5,ale8JK5qyis,My Arma 3 has started glitching ( @ EUTW ),https://youtu.be/ale8JK5qyis,0:57,1:38,,,,,,,,
6,Dg8PGt-ecrc,Weird NHL 16 Glitch,https://youtu.be/Dg8PGt-ecrc,0:04,0:06,0:19,0:33,0:37,1:07,1:21,1:29,,
6,nUC0B2obBsc,ARK thylacoleo dance :D,https://youtu.be/nUC0B2obBsc,0:17,0:42,0:47,1:09,,,,,,
6,UNIJ-BL8Bt0,DayZ Standalone Running Glitch Tutorial,https://youtu.be/UNIJ-BL8Bt0,0:42,1:08,,,,,,,,
